Hebi 1 torque	Hebi 2 torque	M3 torque
0.403685	1.71703	0.0310058	
0.452049	1.72455	0.00674758	
0.474757	1.75932	0.00426084	
0.477926	1.73153	0.00474801	
0.51995	1.79275	-0.000563707	
0.550677	1.87829	0.0266031	
0.554453	1.92517	0.0167757	
0.567107	1.89434	0.0595545	
0.601948	1.93989	0.00965381	
0.621243	1.91241	-0.0138821	
0.63232	1.97338	0.0214838	
0.690421	2.01455	0.0107812	
0.69511	2.02382	0.0210711	
0.72049	2.07481	0.05405	
0.729196	2.08522	0.0131625	
0.771124	2.11119	-0.0093374	
0.802847	2.13331	0.00856405	
0.803528	2.20367	0.0367473	
0.843991	2.23212	0.0210105	
0.883963	2.22012	-0.0126943	
0.900819	2.27453	0.00837378	
0.95908	2.32957	0.015466	
0.946716	2.31077	0.0366766	
0.963937	2.27032	-0.018782	
0.98378	2.2954	0.000974133	
1.01772	2.35684	0.0175976	
1.04558	2.39588	0.0440369	
1.07403	2.39231	0.00861727	
1.13036	2.44204	0.00646082	
1.15462	2.46518	0.00257351	
1.18297	2.49304	0.0312326	
1.20612	2.45995	-0.00357537	
1.21589	2.48551	0.0552418	
1.25225	2.43229	-0.028074	
1.28685	2.51782	0.0216886	
1.32172	2.5223	-0.00508614	
1.3432	2.56008	0.0135574	
1.35529	2.54987	0.00639983	
1.39323	2.613	0.0300428	
1.41176	2.61637	0.0128706	
1.44092	2.68179	0.0617344	
1.45265	2.68691	-0.0144998	
1.47584	2.67426	-0.0210993	
1.50054	2.70529	0.014172	
1.51098	2.70549	0.0196538	
1.55166	2.73466	0.011926	
1.56942	2.75469	0.0408841	
1.61565	2.76248	0.00557794	
1.61973	2.77408	-0.00120136	
1.66156	2.77746	0.0249378	
1.7109	2.84336	0.0276013	
1.71226	2.80162	0.0163379	
1.75426	2.80977	-0.024443	
1.75967	2.80323	0.00253242	
1.78165	2.79511	0.0160196	
1.83709	2.82457	0.00270236	
1.82729	2.78194	0.0212387	
1.86347	2.81462	0.0518266	
1.87606	2.7878	0.00829405	
1.88377	2.81282	0.00168226	
1.93838	2.7798	-0.025522	
1.95376	2.84605	0.0431907	
1.99475	2.79477	-0.0362524	
2.00916	2.7873	0.0143625	
2.03357	2.77277	-0.0364002	
2.04411	2.79353	0.0458504	
2.09224	2.80937	-0.0254121	
2.11674	2.84008	0.0316724	
2.13223	2.80124	-0.0274265	
2.10911	2.76795	-0.0347696	
2.16599	2.78545	-0.0251909	
2.18788	2.78702	0.00651249	
2.19459	2.82997	0.0650779	
2.23424	2.84898	-0.038834	
2.23074	2.78486	-0.00492821	
2.26936	2.83738	0.0203294	
2.26064	2.76419	-0.00385862	
2.29922	2.81554	0.0148684	
2.29518	2.76531	-0.00985371	
2.28984	2.75894	0.00669712	
2.3396	2.74505	-0.018641	
2.33721	2.7419	-0.0116119	
2.34553	2.70101	-0.0218652	
2.36494	2.70077	0.0776464	
2.42498	2.71808	-0.0620473	
2.42997	2.67469	-0.0155923	
2.3986	2.58895	-0.0498368	
2.46041	2.66553	-0.00626212	
2.42237	2.57268	-0.0133043	
2.45581	2.54606	0.00101505	
2.46137	2.55733	0.00645154	
2.45985	2.50477	-0.0632938	
2.45744	2.50681	-0.0382799	
2.47556	2.48685	0.000106542	
2.5045	2.49216	5.06192e-05	
2.52512	2.45451	-0.0275721	
2.4899	2.396	-0.0627298	
2.50968	2.36107	-0.0756657	
2.52133	2.30957	-0.0312491	
2.51856	2.32107	-0.0314445	
2.5163	2.2016	-0.0874192	
2.5572	2.28058	-0.013755	
2.53813	2.23794	-0.0244575	
2.53606	2.2033	-0.0101338	
